,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Los Angeles Rams,16,49,341,0,47,7.0,47,1122,0,61,23.9,6028
2,New York Giants,16,45,275,0,19,6.1,31,739,0,46,23.8,6453
3,New England Patriots,16,45,309,0,30,6.9,29,542,0,73,18.7,7179
4,Oakland Raiders,16,41,380,0,47,9.3,26,534,0,50,20.5,6973
5,Kansas City Chiefs,16,40,592,2,95,14.8,40,943,1,86,23.6,7197
6,Jacksonville Jaguars,16,40,220,0,42,5.5,37,881,1,100,23.8,6657
7,Houston Texans,16,39,427,1,67,10.9,30,557,0,39,18.6,6261
8,Cincinnati Bengals,16,38,246,0,24,6.5,39,1003,0,84,25.7,7224
9,Arizona Cardinals,16,38,230,0,32,6.1,25,544,0,51,21.8,6931
10,Denver Broncos,16,37,316,0,25,8.5,21,481,0,46,22.9,6195
11,Miami Dolphins,16,36,328,1,74,9.1,36,879,1,96,24.4,6747
12,Minnesota Vikings,16,34,354,2,79,10.4,33,902,1,104,27.3,6580
13,Baltimore Ravens,16,32,246,0,28,7.7,28,636,0,60,22.7,6688
14,San Diego Chargers,16,32,212,0,21,6.6,28,508,0,30,18.1,6616
15,Seattle Seahawks,16,30,249,0,62,8.3,35,808,0,46,23.1,7070
16,Cleveland Browns,16,30,200,0,18,6.7,34,634,0,36,18.6,6239
17,Tennessee Titans,16,30,236,0,18,7.9,33,629,0,37,19.1,6772
18,Carolina Panthers,16,29,202,0,19,7.0,37,828,0,59,22.4,6806
19,Washington Redskins,16,29,344,1,85,11.9,27,570,0,45,21.1,7558
20,Tampa Bay Buccaneers,16,29,266,0,25,9.2,21,307,0,26,14.6,6354
21,Buffalo Bills,16,28,314,0,43,11.2,39,829,0,45,21.3,7023
22,Dallas Cowboys,16,28,198,0,39,7.1,24,492,0,33,20.5,6885
23,New York Jets,16,27,149,0,27,5.5,43,941,0,65,21.9,6537
24,Chicago Bears,16,27,215,1,65,8.0,42,897,0,64,21.4,6986
25,Green Bay Packers,16,26,235,0,55,9.0,32,631,0,40,19.7,7012
26,Atlanta Falcons,16,24,273,0,73,11.4,23,484,0,42,21.0,7645
27,San Francisco 49ers,16,23,216,0,33,9.4,38,749,0,41,19.7,6150
28,New Orleans Saints,16,23,221,0,59,9.6,28,462,0,31,16.5,7683
29,Indianapolis Colts,16,22,182,0,30,8.3,32,804,1,99,25.1,7105
30,Pittsburgh Steelers,16,22,185,0,33,8.4,28,603,0,44,21.5,6925
31,Detroit Lions,16,20,246,2,85,12.3,35,793,0,42,22.7,6676
32,Philadelphia Eagles,16,19,246,0,66,12.9,35,956,2,98,27.3,6813
