,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Punting,Punting,Punting,Punting,Punting
Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
1,Denver Broncos,16,,,9,9,10,10,9,7,6,3,34,29,55,85.3%,33,32,97.0%,81,4936,51,63.0%,60.9,89,4068,68,0,45.7
2,Oakland Raiders,16,1,1,9,9,6,6,11,10,8,3,35,29,56,82.9%,39,37,94.9%,88,5630,43,48.9%,64.0,81,3938,72,0,48.6
3,San Francisco 49ers,16,,,4,4,6,6,9,7,2,1,21,18,53,85.7%,34,33,97.1%,72,4259,24,33.3%,59.2,100,4402,65,0,44.0
4,Arizona Cardinals,16,1,1,6,5,7,6,8,6,6,3,28,21,60,75.0%,47,43,91.5%,83,5220,52,62.7%,62.9,80,3269,62,2,40.9
5,New England Patriots,16,,,9,9,9,7,10,9,4,2,32,27,53,84.4%,49,46,93.9%,93,5924,52,55.9%,63.7,72,3218,58,0,44.7
6,Miami Dolphins,16,,,10,8,6,6,3,1,2,1,21,16,55,76.2%,42,41,97.6%,74,4768,43,58.1%,64.4,90,3991,66,0,44.3
7,New York Giants,16,1,1,6,6,6,6,8,8,1,,22,21,48,95.5%,35,31,88.6%,72,4445,37,51.4%,61.7,93,4298,63,0,46.2
8,Kansas City Chiefs,16,,,9,8,17,15,7,6,2,2,35,31,53,88.6%,39,36,92.3%,86,5355,48,55.8%,62.3,76,3427,64,0,45.1
9,Cincinnati Bengals,16,,,13,13,10,9,9,6,3,,35,28,47,80.0%,35,29,82.9%,77,4854,36,46.8%,63.0,78,3613,72,0,46.3
10,Carolina Panthers,16,,,4,4,11,9,17,14,6,3,38,30,54,78.9%,34,31,91.2%,87,5568,63,72.4%,64.0,76,3481,76,0,45.8
11,Baltimore Ravens,16,,,4,4,11,10,14,14,10,10,39,38,57,97.4%,27,27,100.0%,81,5104,52,64.2%,63.0,80,3665,68,0,45.8
12,Buffalo Bills,16,1,1,8,8,5,5,9,4,2,1,25,19,54,76.0%,45,40,88.9%,84,5074,35,41.7%,60.4,75,3183,58,0,42.4
